epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2150.11,0.60777,0.38889,0.93,0.01515,1,0.06633,0.06633,0.12769,141.528,0.21976,0.0011288,0.0011288,0.0011288
46,2197.7,0.56858,0.36266,0.91942,0.01585,1,0.06633,0.06633,0.06914,139.254,0.21348,0.001109,0.001109,0.001109
47,2245.77,0.59446,0.36035,0.90285,0.01484,1,0.04523,0.0407,0.15831,140.918,0.22303,0.0010892,0.0010892,0.0010892
48,2293.47,0.5968,0.37052,0.92774,0.01475,1,0.03431,0.03088,0.1341,127.056,0.2199,0.0010694,0.0010694,0.0010694
49,2341.01,0.58117,0.3624,0.92417,0.01503,1,0.0199,0.01791,0.11491,139.987,0.21819,0.0010496,0.0010496,0.0010496
50,2388.74,0.57609,0.35573,0.91742,0.01531,1,0.02551,0.02551,0.1316,134.287,0.22082,0.0010298,0.0010298,0.0010298
51,2436.61,0.5583,0.34799,0.89667,0.01502,1,0.03554,0.03554,0.09108,135.168,0.21523,0.00101,0.00101,0.00101
52,2484.12,0.57005,0.35187,0.92413,0.01514,1,0.07107,0.06396,0.16088,136.252,0.22507,0.0009902,0.0009902,0.0009902
53,2531.57,0.58564,0.36921,0.91776,0.0153,1,0.16583,0.16583,0.12504,139.974,0.22028,0.0009704,0.0009704,0.0009704
54,2579.2,0.55297,0.35233,0.89874,0.01492,1,0.04146,0.03731,0.17008,137.208,0.22821,0.0009506,0.0009506,0.0009506
55,2626.87,0.58687,0.35513,0.92663,0.01487,1,0.07107,0.06396,0.17284,139.752,0.22577,0.0009308,0.0009308,0.0009308
56,2674.19,0.56875,0.34334,0.91511,0.0148,1,0.03431,0.03088,0.1565,141.337,0.22412,0.000911,0.000911,0.000911
57,2721.67,0.54562,0.33836,0.89814,0.01533,1,0.09045,0.08141,0.15055,145.868,0.22304,0.0008912,0.0008912,0.0008912
58,2769.23,0.56799,0.33211,0.91711,0.01445,1,0.02427,0.02427,0.1187,131.352,0.21679,0.0008714,0.0008714,0.0008714
59,2817.24,0.59733,0.36825,0.93386,0.01429,1,0.04738,0.04264,0.1683,152.397,0.22653,0.0008516,0.0008516,0.0008516
60,2864.94,0.54631,0.3327,0.90924,0.01428,1,0.05853,0.05268,0.16598,141.969,0.22793,0.0008318,0.0008318,0.0008318
61,2912.47,0.57616,0.35089,0.91591,0.01428,1,0.07654,0.06888,0.14772,142.655,0.22103,0.000812,0.000812,0.000812
62,2960.24,0.54209,0.32416,0.90684,0.01508,1,0.4975,0.4975,0.12207,162.312,0.21661,0.0007922,0.0007922,0.0007922
63,3007.83,0.56508,0.33238,0.92493,0.0153,1,0.24875,0.22387,0.12713,145.491,0.21676,0.0007724,0.0007724,0.0007724
64,3055.28,0.51894,0.32054,0.90395,0.01428,1,0.05237,0.04713,0.13721,147.419,0.22465,0.0007526,0.0007526,0.0007526
65,3102.95,0.54643,0.32011,0.9108,0.01428,1,0.03685,0.03317,0.17632,156.235,0.22586,0.0007328,0.0007328,0.0007328
66,3157.39,0.5354,0.32003,0.8933,0.01429,1,0.06219,0.06219,0.12658,144.784,0.21991,0.000713,0.000713,0.000713
67,3211.9,0.50366,0.30788,0.89004,0.01542,1,0.33167,0.2985,0.18338,137.457,0.23053,0.0006932,0.0006932,0.0006932
68,3266.69,0.53417,0.31327,0.89368,0.01452,1,0.24875,0.22387,0.19338,146.086,0.23242,0.0006734,0.0006734,0.0006734
69,3321.21,0.53074,0.31434,0.88883,0.01469,1,0.11056,0.0995,0.15691,145.999,0.22693,0.0006536,0.0006536,0.0006536
70,3375.5,0.52723,0.31749,0.89631,0.01513,1,0.995,0.8955,0.19455,151.599,0.2301,0.0006338,0.0006338,0.0006338
71,3429.74,0.51781,0.30455,0.90406,0.01492,1,0.995,0.8955,0.15069,157.66,0.22305,0.000614,0.000614,0.000614
72,3484.18,0.50726,0.30113,0.89252,0.01476,1,0.02261,0.02035,0.18007,155.797,0.22664,0.0005942,0.0005942,0.0005942
73,3538.57,0.50817,0.30935,0.88528,0.01451,1,0.02764,0.02764,0.12578,151.752,0.22052,0.0005744,0.0005744,0.0005744
74,3593.04,0.48818,0.28677,0.88254,0.01459,1,0.02427,0.02427,0.09447,160.179,0.21469,0.0005546,0.0005546,0.0005546
75,3647.6,0.48918,0.28211,0.8861,0.01428,1,0.07107,0.06396,0.161,166.43,0.22495,0.0005348,0.0005348,0.0005348
76,3702.01,0.51967,0.31175,0.89093,0.01448,1,0.4975,0.4975,0.11648,154.366,0.21651,0.000515,0.000515,0.000515
77,3756.5,0.52258,0.30651,0.90559,0.01442,1,0.14214,0.12793,0.12931,158.78,0.2173,0.0004952,0.0004952,0.0004952
78,3811.08,0.49911,0.28844,0.89112,0.01435,1,0.07654,0.07654,0.08663,159.721,0.21358,0.0004754,0.0004754,0.0004754
79,3865.72,0.50551,0.28998,0.87887,0.01452,1,0.08292,0.08292,0.07119,159.807,0.21104,0.0004556,0.0004556,0.0004556
80,3920.19,0.48695,0.29321,0.89153,0.01428,1,0.0398,0.0398,0.12426,159.262,0.21835,0.0004358,0.0004358,0.0004358
81,3974.53,0.4878,0.28987,0.89178,0.01438,1,0.03317,0.02985,0.11839,159.163,0.2166,0.000416,0.000416,0.000416
82,4028.73,0.48068,0.27482,0.89227,0.01471,1,0.07654,0.06888,0.10655,163.325,0.21873,0.0003962,0.0003962,0.0003962
83,4082.97,0.45694,0.28082,0.88093,0.01472,1,0.33167,0.33167,0.09118,165.769,0.21471,0.0003764,0.0003764,0.0003764
84,4137.5,0.46505,0.27384,0.88048,0.01451,1,0.12437,0.12437,0.11445,160.107,0.21696,0.0003566,0.0003566,0.0003566
85,4192.15,0.45469,0.27646,0.88702,0.01447,1,0.12437,0.11194,0.14067,154.391,0.22113,0.0003368,0.0003368,0.0003368
86,4246.82,0.49556,0.28601,0.90475,0.01438,1,0.08292,0.08292,0.10623,154.612,0.21475,0.000317,0.000317,0.000317
87,4301.33,0.4817,0.28211,0.8932,0.01483,1,0.11056,0.11056,0.10127,156.322,0.21565,0.0002972,0.0002972,0.0002972
88,4355.64,0.44408,0.25869,0.87377,0.01488,1,0.08292,0.08292,0.08773,158.634,0.21368,0.0002774,0.0002774,0.0002774
89,4410.28,0.48279,0.27475,0.90608,0.01488,1,0.07107,0.07107,0.09665,156.493,0.21773,0.0002576,0.0002576,0.0002576
90,4464.92,0.46813,0.27568,0.88001,0.01482,1,0.02618,0.02357,0.12277,153.211,0.21856,0.0002378,0.0002378,0.0002378
91,4518.87,0.39927,0.21984,0.82527,0.01459,1,0.01631,0.01631,0.09044,147.958,0.21372,0.000218,0.000218,0.000218
92,4572.87,0.39843,0.21554,0.84498,0.01474,1,0.01716,0.01716,0.08869,147.606,0.21358,0.0001982,0.0001982,0.0001982
93,4626.93,0.39533,0.20719,0.83586,0.01486,1,0.03685,0.03685,0.11099,162.84,0.2165,0.0001784,0.0001784,0.0001784
94,4681.04,0.39465,0.21098,0.83408,0.01484,1,0.05528,0.05528,0.10975,169.496,0.21665,0.0001586,0.0001586,0.0001586
95,4735.11,0.39511,0.20459,0.83626,0.01484,1,0.07654,0.07654,0.09063,163.976,0.2144,0.0001388,0.0001388,0.0001388
96,4789.26,0.40366,0.21173,0.83839,0.0148,1,0.04975,0.04975,0.09865,162.973,0.21499,0.000119,0.000119,0.000119
97,4843.5,0.37511,0.20184,0.83697,0.01477,1,0.02926,0.02634,0.11108,165.268,0.21633,9.92e-05,9.92e-05,9.92e-05
98,4897.66,0.37881,0.20175,0.81897,0.01475,1,0.02488,0.02488,0.09417,168.857,0.2158,7.94e-05,7.94e-05,7.94e-05
99,4951.64,0.37862,0.19562,0.83461,0.01474,1,0.02926,0.02926,0.09154,168.373,0.2168,5.96e-05,5.96e-05,5.96e-05
100,5005.82,0.38344,0.19546,0.81286,0.01473,1,0.03317,0.03317,0.0916,169.23,0.21663,3.98e-05,3.98e-05,3.98e-05
